"","age","polygon","sex","length","weight"
"1726",6,3021,0,60.8781055420458,1.71464639685407
"2047",5,2960,1,54.8925462304415,1.26875162129286
"4509",4,2960,1,42.4016472445495,0.598516910585129
"2605",5,2199,0,57.9187262941122,1.48318724756222
"1206",7,2307,1,63.9037924154313,1.97458205369782
"4786",4,1667,1,41.4447576740062,0.560053137767551
"2686",5,2150,0,54.3110255628321,1.23003303648372
"2797",5,2836,1,49.041502502041,0.913972751393018
"2588",5,2826,1,48.5820386679381,0.889277030648961
"2079",5,2559,1,55.6245309569091,1.31861435177875
"3091",5,2686,1,54.9277782333106,1.27112277511194
"1343",6,1845,1,50.6357086618227,1.00314160300136
"1031",7,2367,1,66.7330782981359,2.239883635875
"1812",6,2310,0,53.1013774944435,1.15199481899661
"1196",7,2310,0,69.0807131285981,2.47697149436749
"908",7,2368,1,59.6477278428778,1.61573803315586
"3390",4,2037,1,50.342390225785,0.986325214290708
"2749",5,3009,1,53.5896195040842,1.18308907780419
"2562",5,2000,1,59.209747250543,1.5814552893851
"2415",5,2488,1,56.1679398461496,1.35645129761881
"2081",5,2429,1,52.2518190314249,1.09917742450966
"464",8,3009,1,71.2211269247384,2.70697604788343
"3305",4,1712,0,45.8557853646524,0.751708776323722
"4484",4,2959,1,42.4004862734386,0.598469223942963
"2269",5,2489,0,56.5236873517095,1.38160341499164
"1050",7,2365,0,60.5038676278773,1.68415327628492
"3421",4,1712,1,45.2714510084748,0.724172003730367
"388",8,2493,1,78.9721239481079,3.65629725948331
"770",7,2496,0,61.0390943174889,1.7278745224415
"3439",4,2310,1,45.9295127062957,0.755231217123278
"4261",4,2376,0,48.7918841696479,0.900500939308172
"1957",6,2202,0,59.0902092360757,1.57218218591056
"2940",5,2308,0,50.0470272563271,0.969579662167074
"1185",7,2487,0,64.2800982214819,2.00860894499387
"7355",3,2150,0,40.0426154704789,0.506679082821624
"2233",5,2310,0,56.1358313102177,1.354196061151
"1129",7,2111,1,62.7832094177228,1.87550102989811
"3373",4,2430,1,40.0689476183962,0.507649285623644
"3212",4,2823,0,43.9204986067203,0.663062423990457
"2838",5,2836,1,52.9594188591713,1.14305579195203
"4609",4,1967,1,50.2842834827759,0.98301598384765
"4803",4,2110,1,38.9705854128023,0.468206189724166
"7586",3,2542,1,38.0735659808632,0.437529388757379
"293",8,1624,0,71.8560894132194,2.7778046303833
"3201",4,3021,0,41.7136380405085,0.5706921043473
"758",8,2961,0,75.3256671994852,3.18637420580712
"3422",4,2199,0,50.0355029379884,0.968930104163801
"4910",4,2307,0,41.7997137034478,0.574125727970827
"874",7,2036,0,61.146903624261,1.73677033625514
"2713",5,2489,1,55.2549244383324,1.29327911466942
"2285",5,3068,1,55.1963779666295,1.28929551716041
"2401",5,3009,0,53.0445939296327,1.14841371620197
"316",8,2376,0,66.3523844389079,2.20290211517616
"5072",4,2488,0,43.596580242629,0.648932072997219
"1639",6,1542,0,51.7129287753702,1.06651303445627
"642",8,2365,1,69.6371897730814,2.53548288924151
"2499",5,2424,1,56.9248463645993,1.41033121600447
"548",8,1667,1,74.9272826619498,3.13758163688331
"4802",4,1801,0,46.6799674925963,0.791703510988067
"555",8,2836,1,64.0631149227509,1.98894198187024
"3922",4,3068,0,47.5814690673839,0.837021895795362
"445",8,1889,0,75.5283748624687,3.21139105170939
"3462",4,1711,0,41.6286340111728,0.567314484115753
"1758",6,2251,0,62.4743181272274,1.84877526551457
"2053",5,2492,0,52.4009692713811,1.10833259907975
"7729",3,2688,1,40.3952118843979,0.519771743857491
"2983",5,423,1,52.8666082719622,1.13723626531937
"2232",5,2836,1,52.1265758732462,1.09152817465404
"3207",4,1623,1,50.8284707464419,1.01429475955419
"1239",6,2428,0,62.5335964678464,1.85388460892094
"3579",4,1624,1,47.6687870418259,0.841499611242051
"1978",6,1624,0,58.2219988806819,1.50590016145224
"7085",3,3125,1,38.5971411706719,0.455269061085244
"2018",5,1929,1,49.4503677343484,0.936323674599836
"1300",6,2836,0,59.0680814543735,1.57046955851563
"17",10,2310,1,79.2346039695685,3.69177325840925
"4154",4,2362,0,41.7350719627922,0.571545855947988
"5060",4,423,0,43.7839283897936,0.657080432631772
"1070",7,2109,0,58.7432486409785,1.54546918394632
"1067",7,1665,1,59.1390933223786,1.5759700195785
"4755",4,1889,0,41.5482794654363,0.564133699229269
"1932",6,2199,0,66.2185243198528,2.18999450492508
"1637",6,2755,1,60.0711996211694,1.64934547149422
"246",8,2072,1,71.9569863966175,2.78917020826627
"1178",7,2686,0,61.494043498421,1.76561846775569
"703",8,2111,1,72.5646143044374,2.85826254743701
