"","age","polygon","sex","length","weight"
"1015",22,3402,0,91.6153220281884,5.63274242885552
"2890",5,3454,1,56.4404787163366,1.37569319579168
"3121",3,3453,1,38.3178449247718,0.445748422385043
"1817",17,2181,0,106.293749984433,8.6802088876955
"862",4,3401,0,42.538695475267,0.604163678004432
"659",6,3453,0,64.3030790149064,2.01069932449126
"2718",8,3303,1,72.9706381807321,2.90505116394332
"1478",6,3457,1,67.1528869002039,2.28113467617115
"8490",5,3457,0,56.2444642251276,1.36183614557087
"9042",5,3302,1,52.4162693034568,1.10927456938024
"1333",7,3301,0,63.8149279147039,1.96660223626736
"9803",4,3452,0,43.8797896695334,0.66127558499215
"8686",4,3302,1,43.9037218690776,0.662325658594211
"8781",3,3303,1,39.8682576497225,0.500285598028586
"3549",6,3457,1,55.7790980104446,1.32930522768998
"8936",6,2181,0,55.9383117703386,1.3403768197336
"8058",5,3402,1,53.7748762215652,1.19502996613477
"1918",9,2181,1,79.3025732941526,3.70099646213652
"3728",6,3351,0,64.1785925079657,1.99939284416061
"2055",10,3302,0,74.6646301722792,3.10568280404248
"2841",6,3454,1,51.8110472619418,1.07241229447062
"1447",4,3402,0,42.4074078929097,0.598753564884164
"3621",10,2181,1,81.2880906019033,3.97714137772829
"7741",7,3301,0,63.3108609395244,1.92173855593757
"8219",4,4062,0,42.1574686133149,0.588542126259218
"3915",4,2966,0,39.2805009398919,0.479123868406746
"6583",5,3860,1,50.9348834590257,1.02048648418362
"2457",6,2966,1,58.967260963649,1.56268183859831
"35493",6,3457,1,55.7790980104446,1.32930522768998
"4576",5,3621,1,49.4969527280133,0.938892805089865
"4917",12,3747,1,79.465300499759,3.72313940310529
"4497",6,3496,0,57.1912869525888,1.42962655054717
"742",4,3945,0,48.7136095790207,0.896303496162026
"9242",4,3946,0,41.2993687440433,0.554355063365448
"522",4,3495,1,42.2475684049399,0.592209928309207
"14783",6,3457,1,67.1528869002039,2.28113467617115
"89368",6,2181,0,55.9383117703386,1.3403768197336
"4598",7,3943,0,66.3310959515554,2.20084601920385
"2904",5,3944,1,58.5907831038159,1.53382550796978
"9331",11,2841,0,79.9922975952089,3.79544640335484
"1421",4,4188,1,48.1929712223836,0.868710877381907
"6636",5,2709,0,52.447157364076,1.11117784182796
"4547",5,4188,1,55.8760611934645,1.33604078971453
"8734",7,3495,0,69.0502799672989,2.47379738766121
"4403",5,2904,0,50.9408215996114,1.02083272937967
"4215",5,4105,0,52.8337332482618,1.13517956803282
"7653",11,3538,1,84.535107333345,4.45728773785095
"5843",5,3537,1,48.2331291793668,0.87081902834642
"7651",8,3654,1,70.4674635271935,2.62445799222594
"7829",7,3861,1,65.2384751123435,2.09700152760645
"7555",4,4187,0,43.9378615743617,0.663825500441485
"1090",12,2709,1,99.656808421385,7.19528467160248
"9639",5,3665,0,57.5436101334084,1.45540633311088
"3167",8,3503,1,71.439233579975,2.73117000630491
"9099",5,3664,1,61.654936756688,1.77909503585018
"8565",3,3946,0,38.0602991063774,0.437085881476376
"2421",9,2777,0,82.6681635889001,4.17683298279828
"2000",4,3737,1,47.4237631297284,0.828974329847524
"4630",8,4187,0,66.3802479206115,2.20559514518128
"8118",4,2777,0,41.7310555862647,0.571385812680841
"5815",5,3501,1,57.3743265535226,1.44298196741597
"8964",5,3585,0,50.7464962423782,1.00954184682657
"8852",14,3986,1,94.2714840782046,6.12124111110599
"9342",7,3665,0,63.1911411886406,1.91118277589865
"2740",8,3663,0,66.3570931898586,2.20335706846442
"47",4,3623,0,46.9118661069362,0.803203086358255
"6564",4,3903,0,41.9458927767766,0.579987939042932
"2446",5,3687,1,54.8554531389936,1.26625835333283
"4777",5,4144,0,53.5318618619773,1.17938233782033
"6204",5,3693,0,47.7809419883851,0.847274008593975
"36218",10,2181,1,81.2880906019033,3.97714137772829
"6449",5,2777,0,50.982501229269,1.02326518418996
"19189",9,2181,1,79.3025732941526,3.70099646213652
"4909",6,2709,1,58.4756436747363,1.52507066444568
"3343",3,3647,0,38.1235815264833,0.439204047767296
"6140",7,3585,0,60.869501751412,1.71394131806962
"6601",4,3902,1,44.0689119878989,0.669603570551391
"2018",4,3538,1,38.6156329185633,0.45590407412203
"7047",13,3687,1,88.6984642549463,5.1265894257001
"3102",13,3665,0,92.8571189887317,5.85780528734163
"8274",10,3729,1,88.9024290193438,5.16097006317008
"6259",4,4106,1,41.0480469368777,0.544595257504444
"8978",5,3504,1,46.4017752319373,0.778051527450492
"8354",5,2777,0,52.9437116875023,1.14206953022503
"3309",6,3821,1,59.8151523686906,1.6289708621824
"1371",7,3730,0,74.492971938865,3.08495058024202
"9164",5,2964,1,49.2253329280471,0.923978130058006
"5166",4,2842,0,48.7731233132978,0.899493723015708
"5768",5,3902,0,54.997052854156,1.27579351391257
"6787",7,3946,0,64.2051661119455,2.00180287783513
"5726",8,3775,1,76.5378420015045,3.33789341789351
"9509",4,3944,0,47.3648676316562,0.825982030987524
"84903",5,3457,0,56.2444642251276,1.36183614557087
"5651",9,3729,0,68.4237409054016,2.40904279716364
"9273",4,2903,0,46.5121190867858,0.783447885759219
"5380",7,2709,0,68.2397875125477,2.3902443085063
"9894",6,3501,1,54.0508739296696,1.21296592647453
"5659",6,3687,0,66.5869959155331,2.22564504959157
"9359",5,3689,0,56.165814792459,1.35630196216885
"7272",6,3730,0,66.4127490181327,2.20873913402306
"2783",7,3665,1,69.031448819311,2.47183468119499
"8216",5,4145,1,50.4819778322403,0.994304712937676
"7623",4,3775,1,43.3337725519472,0.6376139331223
"7197",5,3539,1,52.5130790564287,1.11524699603726
"7673",10,4106,0,88.4925499309237,5.09203300550809
"3735",4,3729,0,38.89444752641,0.465549239366854
"6923",7,3647,0,74.4463538203526,3.07933595131574
"566",4,3775,0,51.9720193847936,1.08213687708722
"1515",13,3541,0,89.6536300610073,5.28889825497676
"6805",4,3542,1,43.6002636574063,0.64909163352772
"1470",4,3663,1,44.6155598904123,0.694061502603265
"4393",3,3776,1,38.0507882273723,0.436768117559222
"2147",7,2777,0,62.4929075967683,1.85037654075312
"6475",4,3944,0,39.6707756666427,0.493108398386822
"4820",5,3535,1,56.1977295059317,1.35854586431083
"3365",5,3663,1,54.7227489886102,1.25736478106111
"6408",6,4188,0,61.5362220318336,1.76914487705571
"6141",7,3621,1,58.327202036956,1.51383211236748
"1967",5,3903,0,52.9939628541006,1.1452267941757
"690",13,3747,0,99.0004865893487,7.05825448935588
"693",6,2904,0,56.0553329252082,1.34855284551852
"3871",5,2904,0,54.7415761914593,1.25862403947633
"8164",4,4103,1,41.912325934231,0.578638351524507
"5603",4,3663,0,44.6447997856303,0.695386003314955
"3831",8,3576,1,73.3528212221348,2.94954914604256
"9858",4,3775,1,45.9979863538062,0.758512341664131
"9473",5,4144,0,57.05239670573,1.41954679925753
"5182",4,3946,1,46.0960712663858,0.763228659948805
"9192",4,3647,1,46.6691495641117,0.791169717833626
"9020",10,3944,0,77.2693094957212,3.43157224178329
"1149",3,3613,1,39.9626168182496,0.503739015301202
"9334",12,2709,1,86.6146586255279,4.78391719086473
"494",5,3903,1,56.2989003592046,1.36567522135876
"6675",6,3537,1,56.1252820798813,1.3534556427424
"18176",17,2181,0,106.293749984433,8.6802088876955
"4771",9,3778,0,71.4466160654123,2.73199139816552
"759",6,3736,0,59.3869290099008,1.59526600498613
"9158",13,3747,0,89.3989055062343,5.24528864957946
"7048",5,3692,1,51.6780149655566,1.06441903187483
"2493",4,3539,0,49.1917720733589,0.922146169038828
"8524",6,2965,1,65.6606396741565,2.13673445653694
"2988",4,3821,0,42.4181845504569,0.599196447719496
"4735",5,3613,0,60.6370249461146,1.69496186380883
"2197",6,3820,0,56.3625376216635,1.37017219886977
"848",7,2273,1,61.0418111295148,1.72809833021155
"2227",4,1174,1,47.4577526559437,0.83070446644399
"2173",4,1857,0,41.2193500386773,0.551235274159731
"4818",6,1718,0,53.2917246841383,1.16405267202684
"1520",7,983,1,71.2119408733541,2.70596016431526
"5562",5,984,1,50.3388961221978,0.986126015690656
"480",4,2049,1,42.4643690952393,0.60109690582793
"3006",6,1545,1,57.1852439653419,1.42918701543139
"6669",5,929,1,51.9364476966835,1.07998297397213
"7249",7,2570,0,64.0476405081094,1.98754425892425
"6603",7,2278,0,66.7848406064851,2.24494319395931
"9512",4,1035,0,44.2252682851857,0.676540454434868
"1104",6,425,1,60.8647086041159,1.71354860323573
"5780",5,1810,0,56.9380006634132,1.41127979997416
"8270",8,1865,1,66.7221803765738,2.23881936241647
"1377",5,1668,0,57.525484653124,1.45407269186256
"2246",9,1089,1,72.3420126186103,2.83282204520903
"5968",9,624,1,78.651347535231,3.61324685598437
"9207",5,2277,0,53.9127247129812,1.20396625289845
"8746",4,2179,1,43.3598037659379,0.638729171822022
"4087",5,1220,0,54.5163887406132,1.2436165331247
"3383",4,1046,1,41.7470861405214,0.572024768635085
"2530",5,2132,1,58.2025086528115,1.50443366801107
"6429",5,1729,0,54.8092415630185,1.26315667442126
"5763",8,1638,1,69.3342384409843,2.50351752986223
"4793",4,1861,0,42.5674529301049,0.605352985707222
"3441",4,2571,0,39.279677394405,0.479094637473994
"838",8,1669,0,74.3511401482227,3.06788938108348
"3104",8,2334,0,64.5767493819765,2.0357027768002
"479",5,1174,1,46.6891944047757,0.792158984767054
"482",11,1598,1,96.6630598883274,6.58416722793901
"5024",5,280,1,52.4537160482829,1.11158225304457
"6069",4,667,0,47.0759442032269,0.811405392973953
"6081",7,714,0,61.0446440322575,1.72833172166132
"1501",14,764,1,95.083027943441,6.27584812758209
"9899",6,1182,1,60.571305027099,1.68962160319415
"5289",5,1381,1,47.8081900663519,0.848680815643166
"306",5,713,0,52.1466643431004,1.09275272155853
"4022",3,2572,0,38.5637954415362,0.454125425050148
"2905",8,1775,1,74.2838086126474,3.05981167738621
"779",5,1775,1,51.2587083352525,1.0394810360247
"1548",7,1630,0,59.7750683894123,1.62579626994056
"7192",7,1724,0,74.0575997752232,3.03277586507095
"7762",4,1682,1,43.0673395414228,0.626272719371853
"8481",5,1085,0,51.1765585538094,1.03464061178634
"5204",4,1763,0,43.4978968912469,0.644666822806174
"2822",3,2130,1,38.314230441889,0.445626076666206
"4271",5,623,0,44.0320425195616,0.667974656192318
"3306",5,1679,0,52.5542752239798,1.11779487450523
"4555",5,672,1,51.8818190989927,1.07668063706388
"5211",6,1583,0,51.8079997752947,1.07222874640235
"7565",7,2220,1,56.7337335846749,1.39659684676526
"6519",6,1181,1,66.7579630756949,2.242315087878
"214",7,1584,1,67.2074370411852,2.2865311735592
"8995",6,1760,0,59.9626347184494,1.64068626770867
"3724",7,1720,1,68.1894647342027,2.38511857133997
"6331",4,922,1,49.2527745779554,0.925477840540836
"7954",7,1944,0,64.417626459891,2.02114009029505
"5363",6,2218,0,59.3509987276829,1.59245898890384
"3699",4,812,0,43.7186291260643,0.654232784248734
"5249",4,1089,1,49.1099469320866,0.917689637769402
"9787",4,428,1,45.8253784253894,0.750259183176053
"1856",4,1047,0,45.9579511674963,0.756592799600808
"7518",9,2132,0,81.8619294577503,4.05939429535054
"3269",4,1636,0,44.6398655546242,0.695162377625616
"6096",9,1344,0,79.1317218286506,3.6778412266828
"7228",5,1638,1,54.4109874281316,1.23663266113707
"7637",5,1134,0,50.8192622286097,1.01376011552828
"4281",4,1339,0,47.7035143480102,0.843284807701027
"3887",9,1545,0,78.9137065003476,3.64843230151519
"1854",7,2085,1,60.7162609615285,1.70141512890245
"6904",6,2125,1,60.7136327208838,1.70120081742322
"4169",4,1680,1,48.6234284668024,0.891483515460282
"2266",4,1131,1,43.2836988449706,0.635472252656135
"1527",9,811,0,80.193948327457,3.82335593586771
"7097",5,984,0,52.8597445210774,1.13680665974831
"1669",6,1182,1,56.3655000807205,1.37038177979746
"2598",9,1466,1,79.2799958667424,3.69793110734455
"59",8,1905,0,60.0806402830975,1.65009987889788
"6398",6,2274,0,58.2183266449542,1.5056237815563
"5250",4,623,0,41.0859678510371,0.546060590189935
"830",6,2276,1,54.7751122619645,1.2608691511465
"4428",5,1132,1,54.2089392679053,1.22331705706643
"3285",5,1546,1,46.1646284970648,0.76653657006069
"7294",4,1629,0,48.6672851678926,0.893825428268465
"1831",6,2228,1,52.9161290296865,1.1403389522834
"5971",7,1463,1,64.8989855727756,2.0654039286343
"5530",4,1465,0,41.0681069307822,0.545370089975164
"7219",4,1505,0,38.5595810326885,0.453981020667468
"1765",6,717,0,59.4739274975397,1.60207611874711
"3466",5,1176,1,55.5877344714471,1.31607760937028
"5637",7,328,1,70.483063306259,2.62614903360702
"6271",4,1256,0,47.4214688936106,0.828857633810881
"2239",3,1092,1,38.1223301088542,0.439162095611433
"3012",5,1813,0,47.0387243926789,0.809539966927721
"7292",4,1855,0,45.7247005174094,0.745472652149693
"4611",7,1768,1,58.1084410605148,1.49736896608991
"1011",8,1629,1,77.3907898556353,3.4472953011423
"9348",5,2333,1,52.6163371043486,1.12164045286147
"3934",7,1138,0,52.7878093034574,1.13231060548626
"123",4,1777,0,42.3472884881583,0.596286810418981
"658",4,378,1,44.5525160207095,0.691211395021902
"5085",7,1465,0,63.9309561545229,1.97702552576525
"2430",6,2132,1,52.4524061044277,1.1115014736383
"1198",5,1132,1,52.3601173003295,1.10582005664111
"1081",10,231,0,87.3002710137062,4.89494771927271
"1514",4,2127,1,41.4324754861422,0.559570295326602
"6497",4,760,0,44.6233522469744,0.694414316636435
"6323",3,2508,0,40.0360241211255,0.506436416456318
"3880",4,1586,1,40.9493308931008,0.540792801141932
"2265",3,1862,1,39.0689179144702,0.471652357038982
"8607",7,1423,1,71.903271988105,2.78311573738963
"8174",4,1777,1,47.6557226785234,0.840828665529341
"860",5,974,0,52.0725277894117,1.08823800020377
"7704",4,1426,0,44.9772418614268,0.710561692750011
"8186",6,1222,0,68.4007700987011,2.40669009099499
"7975",5,2274,1,50.1463728447107,0.975191043739939
"895",6,474,1,58.6383785915177,1.53745413468652
"9128",5,1715,0,53.1801786152825,1.15697660931027
"2004",6,1598,1,53.9533473761554,1.20660803432789
"2577",7,1093,1,66.4746202004705,2.21473236063379
"1677",4,1629,0,39.8474375844385,0.499525710689106
"5563",4,1855,1,41.6904285544373,0.569768573260961
"9433",7,1766,1,68.6351101854651,2.43076246033576
"93343",12,2709,1,86.6146586255279,4.78391719086473
"247",4,1729,0,48.1066036693464,0.864188241275411
"5075",4,1856,0,45.4241250534528,0.731301739070061
"3774",4,922,1,47.5803887638871,0.836966595388516
"4376",8,1724,0,73.3937932872366,2.95434594260157
"6728",4,1759,1,47.1397406611429,0.814609376959781
"1033",7,1908,0,74.469085307036,3.08207286501457
"9487",5,1684,1,49.1690043840875,0.920904724660457
"89367",6,2181,0,55.9383117703386,1.3403768197336
"8159",5,1296,0,57.6667285965272,1.46448642801742
"6420",13,764,1,88.4254516088662,5.08080572358939
"4746",7,2086,1,60.187708433097,1.65867159652265
"7633",4,1681,1,46.3291734969166,0.774514286518586
"5897",4,2336,0,44.6177775590145,0.694161899863401
"3589",4,2571,1,45.688248938922,0.743744589471592
"9130",7,1046,0,61.5512532916733,1.77040270791858
"4140",7,1464,0,78.6531720586563,3.61349077379855
"2584",9,1094,0,76.8128427490622,3.37291311502638
"7646",9,2333,1,79.7490633285917,3.76195983623758
"4320",3,2219,0,39.5062361310862,0.487180326145939
"2301",9,1297,1,71.55305666306,2.7438522447814
"8206",10,1627,0,84.6311373027489,4.47203815819127
"5824",9,926,1,73.8883305023947,3.01264819756654
"4514",4,863,0,44.5900031166768,0.6929051959531
"6412",10,2333,1,81.6069669665398,4.02271203557844
"7715",5,2332,1,45.9055467028322,0.754085017489709
"1051",10,921,0,84.6208110849487,4.47045049276801
"6881",4,1423,1,43.5984836565261,0.649014523089838
"1706",13,1182,0,89.198466283002,5.21113928529471
"4113",4,1729,0,39.246864247985,0.477930919503244
"2962",7,1583,1,66.5066251073915,2.21783673875365
"9857",4,930,0,40.0114803541566,0.5055334868247
"111",4,1681,0,39.7044888260487,0.494328838752539
"3925",8,1296,0,77.0815166158523,3.40735917494054
"5878",7,1627,1,69.0013400836069,2.46869867414843
"3701",4,1182,1,46.1637689681273,0.766495039355695
"9937",4,526,0,45.1493485390073,0.718502884455791
"358",5,2222,0,41.0305123102928,0.543918561388697
"6625",6,1546,1,50.11063187782,0.973169822649281
"8826",5,1503,1,49.4897117150518,0.938493164872976
"429",5,1806,0,52.8548363918145,1.13649952283222
"911",7,2130,0,64.3320639115841,2.01333788492163
"5340",6,928,1,59.7358085459204,1.62269088704019
"6220",10,1900,1,81.0596427184866,3.94470307904128
"5520",5,1681,1,51.9038465849681,1.07801141535675
"5367",5,1543,1,50.368785039643,0.987830834144907
"535",4,1138,1,47.7318774990186,0.844744690331012
"9516",11,1682,0,89.9012614859615,5.33152096983202
"197",3,1095,1,38.3713172193918,0.447560969028024
"1216",6,2334,1,58.8490773241741,1.55358525293308
"3317",7,1095,0,70.4248655337315,2.6198439414235
"7932",6,762,1,61.4289937932329,1.76018892421529
"1139",5,2508,0,56.350207900964,1.36930015143768
"757",4,1857,0,40.2131432159239,0.51298377012536
"5489",4,522,1,40.7706515630717,0.533954624977047
"6746",4,867,1,48.6209536791968,0.891351483962338
"5532",11,760,0,86.0266220770755,4.69001614239086
"3943",8,623,1,66.4178112445568,2.20922909234387
"6517",6,1866,0,54.2707795803647,1.2273824809186
"5678",10,1764,1,75.8127304984821,3.24670110306407
"2667",4,2274,1,44.7034062610553,0.698045735993188
"4396",10,1133,0,73.7582030108936,2.99723460216028
"62",9,426,1,81.857271824435,4.0587222262229
"5910",10,1854,0,83.5343235380483,4.30546158725791
"200",8,2570,1,66.7565569500401,2.24217765142215
"5730",6,2085,1,60.4343092986928,1.67852515182051
"9438",3,475,1,40.3153647887659,0.516787634123041
"7854",7,2180,1,65.2364720047972,2.09681416648945
"8907",6,1039,1,59.7074219545688,1.62044798565827
"7104",5,1764,1,52.7469194991402,1.12976014473535
"7081",5,1681,0,48.2312309012091,0.87071929991495
"7711",4,2570,0,47.7431258263604,0.845324113188473
"6350",5,1502,1,47.9421701099913,0.855620455597736
"6369",6,1684,1,62.2183659912962,1.82682024080609
"3439",9,426,0,75.9451075479167,3.26322566042811
"2033",6,1766,0,58.6635785409063,1.53937762985572
"1948",7,521,1,65.7642267075829,2.14655867396462
"9890",4,1548,0,43.8538552818287,0.660138895664458
"3637",4,1423,1,45.9443657029363,0.755942151123243
"7012",10,672,0,87.5754641108756,4.93998474238676
"4888",6,2170,0,60.1900249548306,1.65885737608282
"4045",4,2088,1,51.4048119605739,1.04812642384465
"626",7,1585,1,63.702513985094,1.95653809949645
"4658",6,1085,1,59.7127429482193,1.62086825669996
"6189",8,760,0,72.5702749205437,2.85891143025222
"8362",3,980,1,38.2199378074567,0.442442171720557
"1927",8,187,1,71.0388816757121,2.68686831946669
"1516",6,1296,1,60.4740826183338,1.68174178877176
"6307",5,1716,0,54.9344300458561,1.27157077580325
"4982",8,578,1,73.3714030373104,2.95172397446758
"3507",4,1182,0,43.9396753727254,0.66390524740052
"1656",6,919,1,61.9133536389049,1.80088127456276
"1907",4,1909,1,43.316332484889,0.636867474899298
"3644",4,2277,1,44.2612428335371,0.678143142344758
"663",5,521,0,41.4541765184093,0.560423600474116
"1822",7,1182,0,57.4631200675719,1.44949014266581
"5716",5,2127,1,47.5205113325324,0.833905236595307
"8557",16,1427,1,103.067937267881,7.93564654311715
"1319",6,1625,0,61.7387909649682,1.78614542509619
"8860",6,2334,1,55.8722908316129,1.33577846333335
"3394",4,2176,0,42.2258883619161,0.59132600570646
