"","age","polygon","sex","length","weight"
"1",6,2538,1,68.5601611919043,2.42304628675889
"2",11,2100,1,71.0735726238529,2.69068830701023
"3",7,1897,1,67.0133531649549,2.26736903817381
"4",9,3614,0,78.6473045815644,3.61270639804754
"5",7,4063,0,62.8391433206596,1.88036746968925
"6",7,2653,1,71.1693352108443,2.70125168443251
"7",7,2755,1,71.2029327524372,2.70496420108222
"8",6,1990,1,61.6634129670854,1.77980687689596
"9",11,1705,0,81.9716691089883,4.07525022419652
"10",6,674,1,57.9339297710075,1.48432048719178
"11",6,4399,0,56.260107808127,1.36293867361227
"12",10,2579,0,73.7424189919635,2.99536851367206
"13",11,979,0,80.3344792227052,3.8428855885283
"14",9,4295,1,76.8786154197847,3.38132444883723
"15",8,4294,0,79.2656798761988,3.69598827782806
"16",7,1712,0,64.0652982177204,1.98913923940503
"17",12,2393,1,89.216354805609,5.21418105220998
"18",7,3073,0,64.7207218670506,2.0489381136515
"19",7,935,1,68.5454172753168,2.42153026114574
"20",7,2502,1,51.1284627453409,1.03181359221962
"21",9,2689,0,75.0676938551718,3.15472226557314
"22",7,1783,0,74.944215957329,3.13964551123348
"23",7,277,1,63.5935990740886,1.94681952119037
"24",9,3323,1,75.9435819674109,3.26303490930927
"25",9,1942,1,76.8117867080025,3.37277817542992
"26",6,2273,0,54.3515802264802,1.23270771891017
"27",14,2476,1,89.4604391634568,5.25580169034541
"28",6,978,1,56.2167824267617,1.35988662322553
"29",7,1220,1,73.0337530056273,2.9123691013487
"30",6,1233,0,59.7282212820184,1.6220911973955
"31",8,3949,0,68.9410904217493,2.46243115081687
"32",6,1567,1,59.1674466068492,1.57816974504579
"33",7,2632,1,57.3501447721477,1.4412128780877
"34",14,2575,1,95.9388963542629,6.44165283144947
"35",7,4026,0,74.3072495885388,3.06262228413086
"36",8,1398,0,72.0771509189408,2.8027459546701
"37",8,3029,1,68.2722745295116,2.39355718225832
"38",8,3013,1,69.4283364526966,2.51341761833677
"39",6,3074,0,63.1629699060002,1.90870443685213
"40",14,2428,0,89.5621738103278,5.27321339846061
"41",7,978,0,69.5485695395847,2.52610473443993
"42",6,3515,0,56.5177802236358,1.38118328958751
"43",9,2249,1,79.0741234370118,3.67005649265427
"44",8,1612,0,60.7066404210732,1.70063073896988
"45",10,3036,1,76.4908836809145,3.33193751912215
"46",7,3359,0,70.1441740529876,2.5895735943957
"47",6,3156,0,53.1209754629819,1.15323248039248
"48",7,2387,1,65.3294210461112,2.10551975571845
"49",10,2632,1,78.0955393551748,3.53944371529307
"50",6,1623,0,54.6373340095138,1.25166218164028
"51",12,2363,0,86.5317229269229,4.77059948095362
"52",9,947,1,70.3848145482466,2.61551063204486
"53",7,1029,0,54.2811647179592,1.22806607527267
"54",15,2867,0,91.5213886890644,5.61595287295606
"55",8,1699,1,68.4670529749906,2.41348299308644
"56",8,1223,0,68.2636703129781,2.39267947137339
"57",8,1598,1,74.4144999022697,3.07550336440275
"58",8,3661,1,70.5274850004154,2.63096833481915
"59",9,4401,0,77.615155374811,3.47645883313986
"60",6,1703,0,51.5612490887847,1.05743544971188
"61",8,1264,0,62.3833738582523,1.8409545405403
"62",7,1344,0,66.6790967629159,2.23461513602346
"63",6,4148,1,67.6688743523065,2.33251548759767
"64",7,2304,0,68.4219385272368,2.40885814020338
"65",8,2891,0,65.1774904236989,2.0913022347403
