"","age","polygon","sex","length","weight"
"4537",4,3191,1,47.3661983561918,0.826049562593421
"1782",6,3687,1,52.089916723501,1.08929583943554
"913",6,3687,1,66.2138406708706,2.18954378005802
"2552",5,3814,0,51.8924490153708,1.07732270283635
"5184",4,3814,0,44.4694359597246,0.687467231703967
"2268",5,3248,0,51.1916185993238,1.03552686895726
"2726",5,3191,0,41.168311162203,0.549251390093124
"335",9,3011,0,76.0466511472882,3.27593863765526
"3001",5,3249,0,51.8931553626059,1.07736537636232
"1734",6,3011,1,56.2311801307719,1.36090036925001
"6",7,3183,1,57.5055289837514,1.45260531646127
"3716",4,3687,1,39.9001061864565,0.501449468079331
"5514",4,3248,0,45.5385694334927,0.736676287577711
"5499",4,3647,1,45.7883218742371,0.748495064444223
"4183",4,3647,1,47.5435504414213,0.835082287720563
"4140",4,3010,1,47.4818107711188,0.8319305052037
"4267",4,3130,1,42.1397993642122,0.587824595925333
"7929",3,3130,1,40.8728343295361,0.537858234564888
"910",6,3535,0,66.2758556675235,2.19551664857519
"1709",6,3814,1,57.6248967813715,1.46139713691208
"4420",4,3687,1,43.4192190210405,0.64127945607953
"1645",6,3647,0,61.8622670530298,1.79656053241785
"1494",6,3646,0,50.53569458696,0.997386673932416
"3431",5,3191,0,54.8872097184884,1.26839272135123
"5365",4,3535,0,44.8205897063017,0.703383866988597
"1404",6,3129,0,56.5877121834015,1.38616235677418
"2029",6,3814,1,57.9624398346852,1.48644710749923
"898",6,3253,0,54.4031802144705,1.23611638310414
"2594",5,3308,0,49.5081225360565,0.93950949925448
"4317",4,3353,0,41.4326858540757,0.559578563096963
"4196",4,3308,1,46.6927483650403,0.792334466978567
"196",7,3352,1,66.576320963439,2.22460690245138
"1887",6,3353,0,68.9137894697942,2.45959458755698
"1692",6,3401,0,58.057660367559,1.49356428104595
"251",14,3353,1,95.323334289246,6.32211556037785
"5274",4,3402,1,48.9949648810348,0.911451169903931
"3764",4,3353,1,41.6913738786563,0.569806169578558
"1474",6,3253,0,58.7554463731119,1.54640321343582
"4673",4,3303,0,45.9782187427936,0.757564157376349
"7043",3,3303,1,38.0582385419344,0.437017023965857
"7047",3,3402,1,38.7392943962695,0.460165600511378
"1322",6,3353,0,53.5548057912246,1.18085390741242
"2042",6,3353,0,57.6905539042387,1.46624784787505
"906",6,3402,1,64.0931860934815,1.99165999816905
"3458",4,3253,1,45.0450182445675,0.71368205614937
"3141",5,3253,1,54.3086813792288,1.22987854822313
"534",6,3308,0,54.3865248937179,1.23501546735808
"3365",5,3308,1,52.2331944207246,1.09803770302331
"3281",5,3352,0,50.2119291167821,0.978905536333767
"762",6,3401,0,58.1986616381068,1.50414431982699
"3570",4,2960,0,40.2810473523648,0.515508558426798
"1910",6,2426,1,56.3238215101063,1.36743513833335
"4870",4,2761,0,47.175159155776,0.816391742950205
"697",6,2110,0,52.9050415633716,1.13964379305987
"1478",6,2077,0,56.3378568127302,1.36842695805417
"3195",5,2110,0,55.1332575143209,1.28500973003373
"1151",6,2761,1,59.6439675967865,1.61544164547116
"4163",4,2368,1,42.3809403549112,0.59766675386266
"1752",6,2310,0,64.8138878466838,2.05753285319663
"3166",5,2154,0,48.9267159518462,0.907761454179342
"2505",5,3067,0,51.2297026362808,1.03777027038518
"4722",4,2760,0,46.5091511141212,0.783302416774969
"4080",4,2073,1,43.0346017855682,0.624888381729109
"3515",4,2558,0,46.7388478374701,0.794613011223303
"5057",4,3022,1,43.3386985114446,0.637824874739214
"3301",5,3125,1,52.0660137807811,1.08784190036942
"6688",3,1623,0,38.9417184277223,0.46719766308014
"5409",4,2888,1,44.0014180648821,0.666623629247783
"4996",4,2368,0,44.24614163953,0.677470071883526
"168",10,3020,1,84.2843999269178,4.41892911169815
"3285",5,2374,0,52.8926691625385,1.13886839976309
"3982",4,3020,0,53.2108346709793,1.15891849255565
"2687",5,2110,0,51.210767324421,1.03665445708764
"8195",3,2484,1,38.4888919371226,0.451563388520242
"1202",6,2836,1,53.7829129213014,1.1955497611271
"80",9,2077,0,86.7271622056128,4.80202184300278
"2500",5,3078,0,51.504753069323,1.0540673360247
"2653",5,2836,1,48.5924263813799,0.889830460992688
"6528",3,2154,0,40.5489005021907,0.525547307808143
"4150",4,2690,0,40.331639499571,0.51739495079786
"2643",5,3019,1,52.1580924679759,1.09344975597246
"1276",6,2368,1,55.692534524168,1.32331094627762
"5404",4,2960,1,44.9666763667564,0.710076075212001
"2801",5,2077,1,49.4082704070174,0.934006008543892
"7764",3,2110,1,39.8724723897814,0.50043951920495
"672",6,2110,1,55.2119413651479,1.2903536891447
"3413",5,1665,0,44.9982610165943,0.711528435726063
"1804",6,2077,1,63.2870417884438,1.91963536209299
"3599",4,2759,1,54.5584862069916,1.24641312172031
"3310",5,2310,1,45.937155730912,0.755596993251368
"8696",3,2077,0,38.8070026545202,0.462509946750059
"1244",6,3078,1,61.7663914726789,1.78847005679954
"5142",4,2494,0,39.0522751983188,0.471067928882456
"799",6,3022,0,63.7554197385589,1.96127039696941
"4548",4,2310,1,48.4590565136328,0.882742023796432
"3766",4,3068,1,41.4579335837377,0.560571418517139
"1398",6,3079,1,58.8485782966413,1.55354691670223
"3812",4,2077,0,46.8501309719319,0.80013107992544
"7244",3,2428,0,40.285048666306,0.515657587822496
"5159",4,2376,0,46.5217281080159,0.78391897350747
"3044",5,2110,1,54.906307090784,1.26967739699573
"5047",4,3079,1,46.7059336169707,0.792985731837642
"2456",5,2759,0,49.6775738773816,0.948897679957972
"4237",4,2888,0,46.6034736718298,0.787934117050311
"3910",4,3019,1,48.1413986735453,0.86600841770277
"3128",5,1929,1,51.6366579050643,1.06194208041969
"108",10,2761,0,78.5325078395059,3.59738262060526
"1733",6,2888,1,52.5433533367365,1.11711901170526
"3618",4,3078,0,48.9382993556481,0.90838699123998
"698",6,2314,0,61.4672590940785,1.76338150820867
"3009",5,2959,1,54.5580633624296,1.24638501111322
"2362",5,2203,1,50.6807810277845,1.0057422285208
"5546",4,1583,1,46.9555498767315,0.805381507820254
"797",6,2110,0,68.2645864075038,2.39277291156733
"828",6,2311,0,68.9271868207852,2.46098630140699
"3630",4,2558,0,51.8552897590637,1.07507931369065
"5119",4,2311,1,48.6188988401109,0.89124186673893
"4480",4,3020,0,40.5399116344386,0.52520835536587
"2927",5,1584,1,52.8720556217801,1.13757729347917
"2697",5,2154,1,52.3430725291101,1.10477284853409
"809",6,2888,1,58.5727462351038,1.53245186742688
"2001",6,2203,0,57.3035128705402,1.43780540491768
"1771",6,3078,0,55.9302601625232,1.33981547008445
"4712",4,3019,1,47.3760537970891,0.826549819296779
"3840",4,2494,1,46.5431901991523,0.784971836073152
"3335",5,2690,1,59.0871829831414,1.57194789021252
"4085",4,2690,0,38.4365484409801,0.449778648958685
"4789",4,2203,0,45.253898580922,0.723355258365165
"4298",4,2311,0,52.0169495131674,1.08486147082973
"3909",4,3019,0,40.254902825973,0.514535498320294
"5439",4,2558,0,45.0795158448997,0.71527374245413
"1068",6,1929,1,62.3173270895915,1.83528850125777
"4489",4,2314,1,42.8523961846602,0.617220382696706
"3732",4,2761,1,47.6542776225035,0.84075447344958
"1928",6,3022,1,61.2273606213704,1.74342874320864
"2750",5,2077,1,51.289141703391,1.04127799491573
"1813",6,2426,0,56.4869284198187,1.37899041727522
"8251",3,2376,0,38.462139197031,0.450650629243815
"1624",6,2311,1,64.1003592154906,1.99230870872285
"4806",4,1929,0,43.2316300959089,0.633250256399303
"66",7,3183,1,57.5055289837514,1.45260531646127
"5469",4,2761,0,48.9294128937964,0.907907071528503
"4351",4,2772,1,47.4599598390601,0.830816898465855
"6221",3,2154,0,40.9472907681491,0.540714401661406
"3149",5,2485,0,59.3408128568023,1.59166381851574
"3737",4,3019,0,44.147693302981,0.67309290711313
"5052",4,2000,1,46.4506631968186,0.780439369548407
"1929",6,2960,1,62.9664388214852,1.89147348829352
"3313",5,3022,1,48.2695874796022,0.872735866025441
"2203",5,2558,1,57.5948303483105,1.45917936658523
"2935",5,2000,1,53.8308125191056,1.19865087359364
"4010",4,1624,1,44.8619817332809,0.705275807528718
"4175",4,1930,1,45.9358129972463,0.755532724943846
"2224",5,2077,0,51.7048713160105,1.06602953774907
"1040",6,2368,1,56.4701393430416,1.37779805064419
"1767",6,3078,1,56.3423138922455,1.36874202111114
"2982",5,2959,1,54.4345590353026,1.23819227092308
"117",13,2611,1,81.4350417414531,3.99809984881704
"4941",4,2368,1,43.3506359486221,0.638336254942174
"903",6,2077,0,58.7567794536703,1.54650531523788
"2501",5,2203,1,49.2995984503717,0.928040493948597
"6195",3,3125,0,38.406791714699,0.448766110661338
"895",6,2960,0,54.6135483021195,1.25007719312145
"2304",5,2494,0,51.1154834989456,1.03105155587718
"4576",4,1584,1,43.9250614558357,0.663262898582849
"3883",4,2484,0,50.8530871152773,1.01572488773938
"2582",5,2314,1,50.1620015654826,0.976075743388622
"5111",4,2110,1,42.5310143634142,0.603846273832948
"4481",4,2886,1,48.1804215823167,0.868052753261193
"3115",5,3021,1,51.0878060593684,1.02942779447738
"3140",5,2001,0,55.0145111341325,1.27697238703685
"1067",6,2426,0,61.1341007426484,1.73571234568209
"2736",5,2494,0,49.9875906234686,0.966232631191871
"4572",4,1583,1,40.6793438667508,0.530482240076641
"536",6,1584,0,63.6022246220431,1.94758802889256
"7988",3,2760,1,39.0651790067459,0.471521019561808
"5036",4,2428,0,45.973005074763,0.757314205380365
"3420",5,2314,1,56.6233526499623,1.38870443860924
"1875",6,3148,1,62.3263238483013,1.83605964344767
"2695",5,3206,0,58.7113965819025,1.54303188959902
"2143",5,2902,1,44.2699199983898,0.67853008794608
"2679",5,3269,1,48.7050585961518,0.895845732833034
"5299",4,3206,0,38.227791386084,0.442706785433136
"4463",4,3731,0,38.9123235957087,0.46617216132391
"2401",5,3269,0,54.7991430836307,1.26247953829974
"2183",5,2779,0,59.3430084215491,1.59183519547634
"9137",6,3687,1,66.2138406708706,2.18954378005802
"370",20,3208,1,95.0397514357961,6.2675395662383
"53657",4,3535,0,44.8205897063017,0.703383866988597
"2790",5,3205,0,53.688139789956,1.18942949254693
"1854",6,2779,0,63.5216733842849,1.94041892943488
"493",6,3085,0,64.355453285864,2.0154687284319
"923",6,3268,1,56.8665817822356,1.40613466708494
"190",7,3024,1,62.7619554952432,1.87365403599422
"41837",4,3647,1,47.5435504414213,0.835082287720563
"1543",6,3207,0,54.7983220532605,1.26242449599914
"2263",5,3147,1,52.3276216893679,1.10382413210163
"1571",6,2841,1,60.2176846249922,1.66107667136464
"4027",4,3265,0,52.3967771808584,1.10807459816407
"5262",4,2841,0,48.970379024339,0.910120862068686
"5502",4,3664,1,40.3150944801916,0.516777551081663
"687",6,2902,0,58.0632184642925,1.49398040544741
"1338",6,3267,1,64.6515015384176,2.04256768779303
"2825",5,3612,1,59.8454022098649,1.63136929700365
"3540",4,3265,0,48.2793478098008,0.873249496280758
"379",9,3694,1,72.5117064241195,2.85220233093703
"3284",5,3774,1,55.0625121753653,1.28021734979902
"1866",6,4144,1,59.3592173220554,1.5931007718782
"997",6,3652,1,54.5127576850683,1.24337551058184
"3382",5,3268,0,50.0552956249722,0.970045877498952
"8592",3,3208,1,44.4245884110578,0.685451634585425
"3010",5,3206,1,52.451513855696,1.11144645415584
"2271",5,3664,0,46.9496408139586,0.80508660826304
"17827",6,3687,1,52.089916723501,1.08929583943554
"2572",5,3694,0,49.5290331350695,0.940664705014487
"4736",4,3149,1,49.3811694285331,0.932515959847066
"1147",6,3148,1,58.5043586596512,1.52725098418951
"16457",6,3647,0,61.8622670530298,1.79656053241785
"1960",6,3654,0,57.980480969954,1.48779386294565
"1976",6,3147,1,55.686198693076,1.32287290572608
"1225",6,3147,1,60.3143136571467,1.66884507162707
"3286",5,3693,1,56.6536357317983,1.39086680407859
"1417",6,2779,0,57.1857003115667,1.42922020455957
"4344",4,2779,0,46.9012421300991,0.802673875394941
"1590",6,2904,0,62.9560326063346,1.89056397642602
"1234",6,3774,0,65.0985035681573,2.08393568290784
"2931",5,3664,0,51.7067726832246,1.06614361840734
"266",9,3613,0,79.1518826805062,3.68056863331564
"3733",4,2841,1,44.5868341454358,0.692761905212987
"2629",5,2841,0,52.1960446566107,1.09576666348267
"4119",4,3085,1,39.7138689511066,0.494668758140673
"3922",4,3085,0,41.1611728421186,0.548974297317548
"4074",4,3026,0,46.8280713468552,0.799035242463211
"976",6,3664,0,65.7513724670322,2.14533796709599
"6901",3,3774,0,39.972752447943,0.504110893382888
"2261",5,3206,0,48.770381923516,0.899346607649937
"4841",4,3085,0,40.4342986069333,0.521236638092044
"1612",6,3266,0,54.4128266174085,1.23675430425397
"4149",4,3208,0,47.8013821193279,0.848329180577833
"5017",4,2779,0,41.7168918661727,0.570821656136933
"5338",4,3148,1,39.9833836783907,0.504501148721124
"7191",3,3654,1,40.6249005505994,0.528418859890822
"4561",4,3264,0,41.2418196376279,0.552110157688299
"2366",5,3694,0,41.0433046629499,0.544412189239618
"713",6,2779,0,59.688038125059,1.61891758659695
"2226",5,3026,1,58.0370659657465,1.49202307952744
"2061",6,3664,0,57.8560253152279,1.47851963060453
"3707",4,2779,0,42.0880428705155,0.585726121812497
"4104",4,3264,0,40.5899974092622,0.527098819821444
"2608",5,3205,0,49.6943684440659,0.949831495303075
"4373",4,4144,1,42.7048927135801,0.611058237969271
"3907",4,3266,0,39.5355564457149,0.488233241545878
"2239",5,4144,1,57.9433942607001,1.48502624004007
