"","age","polygon","sex","length","weight"
"490",6,3309,0,52.1116347605313,1.09061798310885
"3356",4,3399,0,42.4639901179419,0.601081295130785
"993",8,3260,0,75.3037199897691,3.18367332609085
"6168",4,3310,1,43.7534107296271,0.655748571601086
"3911",4,3399,0,45.0299911095127,0.712989446051726
"788",7,3357,1,67.2714929181327,2.2928787362634
"1298",4,3354,0,49.565439659717,0.942678206882378
"1604",4,3357,1,42.9545879239848,0.621513399519205
"209",8,3401,0,66.7365217065442,2.24021998261577
"7042",4,3456,1,41.9620670245295,0.580638977310354
"2074",4,3310,1,41.4369585450948,0.559746503514388
"5063",4,3349,1,50.0286109554186,0.968541780184529
"1615",4,3399,1,45.5348634215049,0.736501840635016
"501",7,3303,1,61.6866128440852,1.7817561829277
"3279",4,3260,1,43.5956631174502,0.648892348382296
"1826",4,3404,0,46.7654534057849,0.79592999149102
"1174",6,3356,1,53.8652495676257,1.20088365383789
"4005",4,3253,0,45.0217192809756,0.712608380612604
"1065",5,3350,0,50.847690779245,1.01541126558545
"5874",4,3253,0,39.1294564833359,0.473782252374799
"6770",4,3405,1,43.9649750223376,0.665018248349903
"5058",4,3260,1,42.4147266073316,0.599054314963723
"6166",4,3260,1,43.9464763446079,0.664204320546351
"3328",4,3350,0,41.6518427209785,0.568235372314377
"6985",4,3354,1,40.3957461405709,0.519791748500204
"3132",4,3303,0,42.6543465531957,0.608955935883193
"5852",4,3399,0,47.3734425049199,0.826417252199554
"6886",4,3405,1,38.8504681198561,0.464019028431771
"1508",4,3358,1,44.0046902850313,0.666767900691332
"1369",4,3456,0,40.3039227973653,0.516360938283736
"4709",4,3399,1,47.228913881358,0.81910173096942
"2299",4,3452,1,41.455226261554,0.560464899010679
"1168",7,3399,0,66.5294277968943,2.22005027134346
"3426",4,3355,0,42.0424383880845,0.583881162072653
"1375",4,3349,1,43.2395495086724,0.63358788226062
"6466",4,3455,1,43.8583643204517,0.660336432062946
"5674",4,3455,0,50.0585454307502,0.970229159393875
"2705",4,3356,0,49.419733251603,0.934636721324603
"3449",4,3356,0,38.3910107061648,0.44822973466197
"2018",4,3358,1,45.7773274920711,0.747972188766543
"6855",4,3451,0,43.5449794739771,0.6466995035566
"1894",4,3349,0,40.5175704521384,0.524366535088723
"2799",4,3354,1,47.9285295848899,0.85491223339564
"6900",4,3354,1,39.7392916438726,0.495590803516217
"2883",4,3402,0,42.8587210977438,0.617485521879643
"11808",3,3403,1,38.867905868092,0.464625358450044
"1599",4,3353,1,42.5708079761004,0.605491838679541
"2640",4,3455,0,46.2594659697634,0.771128002803901
"1398",4,3350,1,43.7276021261471,0.654623608541684
