"","age","polygon","sex","length","weight"
"1",9,3321,0,81.3670780692218,3.9883977443404
"2",8,1058,0,73.7917252949402,3.00120035355816
"3",13,3352,1,89.1480630181272,5.20257497160422
"4",8,1768,1,74.3333811135085,3.06575748839687
"5",8,995,0,80.9699138450858,3.93200974699545
"6",12,2026,0,86.1906498415503,4.71608622273958
"7",7,3781,1,56.4054718881555,1.37321166665914
"8",8,2449,0,72.6799563803171,2.87150343348328
"9",9,1229,1,76.1382328965457,3.28743226101344
"10",7,2432,0,74.0504240649677,3.03192082123847
"11",7,675,0,68.5352121559144,2.42048129661043
"12",7,937,1,72.2389382591092,2.82109249799777
"13",7,2970,1,72.7101554344663,2.87497682173842
"14",8,3316,1,68.9937028280862,2.46790362319651
"15",9,717,0,78.1751860433735,3.54995830684622
"16",17,2126,1,93.1834590631516,5.91791433497224
"17",9,1151,1,79.2867868763949,3.69885295267541
"18",10,3034,1,79.9662338916726,3.79184883824323
"19",7,3416,0,64.2196737101912,2.00311941631384
"20",10,2281,0,81.7250329031767,4.0396713858167
"21",7,1257,0,64.2666365784745,2.0073851094624
"22",10,1352,0,88.1273728344306,5.0311258580135
"23",11,2889,1,93.1327135140038,5.90854098340062
"24",14,4223,0,93.953360238793,6.06132440570562
"25",10,675,0,82.1916818367701,4.1071614856434
"26",8,2171,0,71.9040551590688,2.78320395122353
"27",11,3136,0,85.9171753041874,4.67267372495451
"28",9,2276,0,84.7019855328481,4.48294111954243
"29",7,1938,0,71.8711621372986,2.77950056792348
"30",8,2109,0,73.5155507359573,2.96863088191031
"31",11,4367,1,93.9745888379366,6.06531064389144
"32",14,4181,0,94.2682729208687,6.12063437535108
"33",11,2323,0,85.8340318461236,4.65952737739245
"34",8,2284,1,68.6783421811467,2.43522062057174
"35",8,4219,1,75.0519033723876,3.15279159041662
"36",9,1794,1,74.1206995755212,3.04030153189896
"37",7,4147,1,60.7993999568326,1.70820358192835
"38",8,1922,0,71.7430782140853,2.76511058298747
"39",9,2242,1,73.4153102960942,2.95686709145898
"40",11,677,0,87.2786448449649,4.89141993276636
"41",10,2582,1,80.68779665639,3.89227527170224
"42",8,1886,1,74.1313536129521,3.04157340555015
"43",12,1088,1,95.4146350286651,6.33975268044224
"44",10,2547,0,82.323102600389,4.12630113030461
"45",10,2146,1,83.2671344796461,4.26550953676474
"46",13,2222,1,99.3858887979422,7.13851107432476
"47",12,725,0,82.1773352257884,4.10507563203261
"48",8,3346,0,77.6708706362378,3.48372583730678
"49",9,4481,1,75.5585133009047,3.21512151075781
"50",7,2164,1,61.6187155925676,1.77605524991972
"51",8,2008,1,77.5562572823737,3.4687875148321
"52",10,332,1,72.9499651534658,2.90265682736556
"53",8,1573,1,69.9375847327602,2.56744186498951
"54",8,1841,1,64.9776642503501,2.07269883695492
"55",11,625,0,88.5372204154608,5.09951655263767
"56",9,1592,0,81.120724012972,3.95335920054571
"57",7,1892,1,62.8037854939595,1.87729025615665
"58",8,3298,0,68.2866368215258,2.39502274165405
"59",9,2563,1,89.4341915711072,5.25131559280553
"60",8,3362,0,72.6992252515089,2.87371935256872
"61",8,4445,1,75.8277718730138,3.24857593770287
"62",13,1421,1,89.1704119242516,5.20637126410824
"63",8,2281,1,75.4696908444836,3.20413544746178
"64",10,3330,0,70.7560853210618,2.65586095542695
"65",11,2307,0,81.0136603318697,3.93819490986053
"66",8,2861,0,65.0200634228608,2.07663699444613
"67",8,3657,0,72.7050953240714,2.8743946335483
"68",16,2584,1,102.172450360216,7.73666993828614
"69",11,1229,0,83.7255068590178,4.33419892972398
"70",9,941,0,79.1371945834098,3.67858146237403
"71",17,2827,1,94.9815599889956,6.25637890404205
"72",7,1605,1,68.8907107428581,2.45719838609231
"73",10,2259,0,73.3573614810225,2.95008044393413
"74",8,2173,0,70.831024591194,2.66405471423919
"75",8,822,0,68.911071771244,2.45931233667203
"76",7,2758,0,62.120946656028,1.81850900155257
"77",8,2342,0,70.9762430828265,2.67997990158567
"78",8,2040,0,74.4541791254793,3.08027795262225
"79",11,1480,0,84.1113946360235,4.39258578781671
"80",8,2398,1,65.4789504776227,2.11957437573859
"81",8,2284,0,67.1867347332102,2.28448216495679
"82",13,3618,1,91.4273386301885,5.59917539690996
"83",8,2368,1,82.2021318847355,4.10868125581259
"84",9,474,0,82.09548830604,4.09318920627405
"85",9,3832,0,75.3598474608715,3.19058351031528
"86",8,2131,0,75.7018065130911,3.23289689064163
"87",10,2119,0,87.6283107589075,4.94866442503807
"88",9,3424,0,75.5900974548438,3.21903396778889
"89",8,1651,1,71.6107055118499,2.75029023433949
"90",9,3655,1,73.812473151512,3.00365658993777
"91",8,2841,1,69.1212690850473,2.48120553772539
"92",11,3357,0,85.0046157558097,4.52970985913772
"93",11,820,1,79.1613627905308,3.68185158325991
"94",8,3545,0,70.7990167919918,2.66055299774018
"95",11,2338,1,79.7419877186422,3.76098863631761
"96",7,1596,0,62.9650475775468,1.89135187578779
"97",9,2449,0,76.8663641783182,3.37975665741346
"98",8,3143,0,72.6582186695952,2.8690049445951
"99",7,1525,1,64.9976663820856,2.07455608130823
"100",7,2119,0,71.4529650748786,2.73269793284386
"101",11,1810,1,81.0047559907252,3.9369354389411
"102",15,1507,1,95.0240527408747,6.26452739386837
"103",8,1193,1,69.82581431716,2.55551992789097
"104",8,2119,0,72.1219960479627,2.80782348367241
"105",10,1903,0,78.3901100947782,3.5784338522032
"106",7,727,0,68.1781844222048,2.38397058113967
"107",8,3300,0,75.6420608717344,3.22547768429188
"108",10,2607,1,87.9502312740979,5.00175383600143
"109",11,1580,1,74.6735575604054,3.10676351405205
"110",11,2568,0,88.1852171880189,5.04074154946806
"111",12,864,1,89.4346148995752,5.25138792588596
"112",8,1792,1,72.7057900392852,2.8744745590382
"113",7,2682,0,66.3169226771785,2.19947782721248
"114",7,3697,1,63.6145409822558,1.94868572082849
"115",9,1745,1,71.0404077353213,2.68703628634976
"116",10,2453,0,86.0593262509587,4.69520647634909
"117",9,3031,0,71.4875302876729,2.73654654559885
"118",8,2325,0,65.7209551766144,2.14245119482035
"119",7,2528,1,64.5133793619212,2.02989502628347
"120",7,327,1,62.31464934057,1.83505902351851
"121",7,3660,1,65.2392596230425,2.09707490998641
"122",12,1937,0,86.9609091997063,4.83978126445033
"123",7,2723,1,60.0524499742597,1.6478478503973
"124",9,2091,0,73.1632588054072,2.92742269631606
"125",7,1574,1,66.9462039275308,2.26076394008143
"126",9,3256,0,80.7646000414952,3.90306632309417
"127",9,2464,1,77.2956128257663,3.43497264967775
"128",9,1762,1,73.285801603348,2.94171386182337
"129",16,4426,1,89.4707414211071,5.25756318407757
"130",10,2127,1,81.4148081615979,3.99520980135727
"131",10,1762,1,73.4536980079296,2.96136848752725
"132",9,3092,0,77.8509335455491,3.50727981013782
"133",10,481,1,85.0584606943153,4.53806451258496
"134",7,1724,0,64.0566211820476,1.98835535769907
"135",12,2807,0,67.592369222224,2.32484981743305
"136",8,3363,0,65.8298869031112,2.1528012268455
"137",8,3037,1,75.384183610868,3.19358273427782
"138",8,886,1,74.2884979727706,3.06037380289325
"139",8,3425,1,74.3088302280838,3.06281186604596
"140",8,1948,0,73.1594321037559,2.92697715468152
"141",8,3749,1,80.0845967636381,3.8082044426071
"142",7,1677,1,62.4399388561818,1.84581627213697
"143",7,1609,1,70.4091929941863,2.61814769300586
"144",9,3654,0,72.2979400398218,2.82780281107883
"145",10,3903,0,85.5659692858865,4.61730764090097
"146",15,2289,0,90.9567799221611,5.51572695347514
"147",8,3662,1,68.3354280685334,2.40000590507858
"148",19,1973,1,96.7686302656439,6.60511453796466
"149",9,882,1,74.9363888359442,3.13869141048574
"150",9,2184,1,76.3193139442978,3.31023599729434
"151",7,3612,1,71.2191099958186,2.70675297467769
"152",8,619,0,67.1334555622008,2.27921440785778
"153",9,4297,1,83.4922071335838,4.29914780053363
"154",16,2679,0,106.568248357582,8.74560106596685
"155",8,2909,0,65.7834360517803,2.14838374475233
"156",8,878,1,72.0757333980144,2.80258555612152
"157",8,878,1,69.219937357624,2.49152633977646
"158",12,2149,0,83.6215044704077,4.31855045366966
"159",11,2693,1,84.7664978297303,4.4928841961642
"160",13,4021,1,84.1518646698344,4.39873885297813
"161",9,1942,1,71.6025387076711,2.74937759664033
"162",8,2794,1,66.4848947857918,2.21572865295377
"163",9,938,0,73.2483907512503,2.9373460951226
"164",10,4366,0,83.6744249209412,4.32650836309974
"165",9,1884,1,72.0755983427255,2.80257027435299
"166",8,3832,0,78.9162736116263,3.64877768775054
"167",7,3581,0,74.9655444284053,3.14224634884726
"168",8,2660,0,82.6885540007544,4.1798316626521
"169",8,2292,1,74.4865146739131,3.0841724746198
"170",8,3014,1,75.04362903608,3.15178021129533
"171",7,2426,1,66.5238704611177,2.21951066878278
"172",10,3613,1,75.1875806599136,3.16940593589416
"173",8,2528,1,73.8618150065421,3.00950322789643
"174",7,1602,0,66.6989678776643,2.23655357369909
"175",11,1655,1,87.4504322213761,4.91948895280095
"176",8,1867,0,74.5905119728914,3.09671991043703
"177",11,1547,1,80.587745170806,3.8782472048863
"178",11,1820,0,81.5066411222788,4.00833770843988
"179",8,2276,0,65.7887239713558,2.14888632622278
"180",7,2030,1,67.5858356523293,2.32419593348957
"181",9,3368,1,74.8490886766211,3.12806269934527
"182",8,3543,1,66.3989089743812,2.20739996009464
"183",10,3080,1,81.3932891982022,3.99213766213292
"184",9,2898,1,81.1422215442126,3.95640868161943
"185",8,4031,1,70.4393377774412,2.62141092151908
"186",9,292,1,78.0289387649305,3.5306671195924
"187",14,1428,0,95.0408145879246,6.26774359191834
"188",7,3079,1,68.5498598421711,2.42198699722311
"189",16,3990,0,92.9724669462907,5.87900537813807
"190",7,3463,0,64.2662758135787,2.00735231805481
"191",9,2775,0,73.1522393050651,2.92613981991437
"192",12,3258,1,82.3304653574261,4.12737514380669
"193",7,1990,0,65.1383746733675,2.0876520496585
"194",8,2084,0,69.5784204247691,2.52926112950432
"195",9,2617,0,81.4007501631765,3.993202645727
"196",17,1725,1,97.373257990478,6.72592802693459
"197",11,3129,1,90.2442277536115,5.39092431807611
"198",11,2751,0,75.3657280535936,3.19130807399571
"199",12,2141,1,85.5843548709817,4.62019530913772
"200",7,3140,1,69.8718847407923,2.56042959532155
"201",10,3425,0,78.5937638116463,3.60555412571623
"202",9,4257,1,70.6438486136222,2.64362011140508
"203",8,3618,1,68.4741708820637,2.41421320855384
